"","ID","Name","Host_ID","Host_Name","Neighbourhood","Room_Type","Price","Number_of_Reviews","Last_Review","Calculated_Listing_Count","Availability_365"
"1429",11474214,"Historic home overlooking Esplanade",18152811,"Catherine","Bayou St. John","Entire home/apt",450,10,"5/7/2018",1,274
"960",7769748,"Historic House 2 Blocks 2 Saint Charles Street Car",36964813,"Reneia","Central City","Entire home/apt",125,40,"7/8/2018",1,343
"1018",8472709,"Half-double in the Marigny",3689735,"Ben","Marigny","Entire home/apt",135,75,"7/8/2018",1,139
"2806",17785739,"Fabulous Location on Magazine St.",110428121,"Minnette","West Riverside","Entire home/apt",150,41,"7/15/2018",1,246
"307",1735810,"The Historic Swoop-Duggins House",9141977,"Gregory And Rachel","Central Business District","Entire home/apt",205,79,"7/23/2018",1,116
"5438",25779739,"The Victoria Antoinette Room",3010336,"Mia","Little Woods","Private room",39,1,"7/22/2018",3,187
"3540",20780437,"2 bedroom 2 bath Lakeview, New Orleans Home",135412513,"Bianca","Navarre","Entire home/apt",250,2,"1/1/2018",1,0
"2569",17144040,"Convenient Carondelet Street Apartment by Stay Alfred",114353388,"Stay Alfred","Central Business District","Entire home/apt",322,5,"6/15/2018",110,188
"980",8025793,"Converted Shotgun in Bywater - no cleaning fees!",17476038,"Dan","Bywater","Private room",49,75,"8/5/2018",1,123
"4853",23918761,"Spacious 2BR in Marigny by Sonder",12243051,"Sonder","Marigny","Entire home/apt",99,1,"7/5/2018",184,201
"990",8132482,"Bywater Little Beauty",10429047,"Paulo Steven","Bywater","Entire home/apt",130,44,"7/9/2018",1,0
"214",984827,"Fleur De Lis Rm. w/ Free Wine Hour, Breakfast",4981655,"Jim & Lauren","Lower Garden District","Private room",169,29,"8/1/2018",11,149
"1932",14653854,"Historic NOLA Home - 3.5 miles from French Quarter",90998120,"Alia","Holy Cross","Entire home/apt",135,61,"7/29/2018",2,138
"4881",24036648,"Home in Historic Holy Cross",170473859,"Fanaafi Fauese","Holy Cross","Entire home/apt",125,6,"7/9/2018",2,94
"3098",18857934,"Great home in Esplanade Ridge (MiCasa su casa)",131377646,"Anya&Momâ¤ï¸","Fairgrounds","Private room",89,11,"5/4/2018",2,148
"3561",20793212,"Merchant Lofts Unit 403",24831061,"Hosteeva","Central Business District","Entire home/apt",180,2,"7/23/2018",138,359
"4343",22720017,"3 BR - Great location &  safe! License 18STR-01385",26214992,"Rachel","Lakeview","Entire home/apt",99,31,"7/23/2018",1,48
"1165",9781086,"Opencanvas: An Artful Stay in NOLA",4065560,"Daniel","St. Claude","Entire home/apt",149,81,"7/29/2018",1,325
"5053",24357080,"Carriage Cottage #4",157921349,"James","Marigny","Entire home/apt",75,9,"7/29/2018",6,140
"1254",10426812,"Adorable 1 bedroom/1 bath condo!!!",3891761,"Richey","Lower Garden District","Entire home/apt",60,0,"",5,269
"5031",24325369,"Algiers Air B&B",46299889,"Nanyo","Mcdonogh","Entire home/apt",66,8,"7/22/2018",1,40
"2867",18005982,"Quintessentially NOLA (Uptown/Garden District)",123769157,"Mara","East Riverside","Entire home/apt",350,28,"7/29/2018",1,283
"2033",15257182,"Sophisticated Treme Cottage Near French Quarter!",11377966,"Aulston","Treme - Lafitte","Entire home/apt",245,24,"7/30/2018",1,328
