Attendance,Capacity,Full,Gross,Gross Potential,Month,Name,Performances,Type,Year,Gross per performance,log(Gross per performance)
6052,53,05/12/2002,387565,43,5,Sweet Smell Of Success,8,Musical,2002,48445.625,10.788197314
9614,85,04/04/2010,760724,60,4,Hair,8,Musical,2010,95090.5,11.462584349
8752,103,10/07/2012,1668832,134,10,The Book Of Mormon,8,Musical,2012,208604,12.248192997
8067,95,04/13/1997,405489,0,4,"Bring In Da Noise, Bring In Da Funk",8,Musical,1997,50686.125,10.833407483
9843,101,12/17/2006,1182360,126,12,Jersey Boys,8,Musical,2006,147795,11.903581457
6821,79,07/24/2011,531562,51,7,Chicago,8,Musical,2011,66445.25,11.104133579
5605,65,05/24/1998,247261,42,5,The Life,8,Musical,1998,30907.625,10.338758196
4808,76,08/24/2008,263556,47,8,The 39 Steps,8,Play,2008,32944.5,10.402579606
2785,38,07/07/2002,123921,29,7,Proof,8,Play,2002,15490.125,9.6479580031
6129,97,10/20/2013,468429,73,10,Twelfth Night/Richard Iii,0,Play,2013,,
8166,72,03/16/1997,397186,0,3,Les Misrables,8,Musical,1997,49648.25,10.812718422
6219,72,12/09/2007,455920,57,12,Chicago,8,Musical,2007,56990,10.950631093
7190,102,05/15/2005,761412,120,5,700 Sundays,6,Play,2005,126902,11.751170414
14472,100,12/21/2008,1499186,106,12,Wicked,8,Musical,2008,187398.25,12.14099131
10752,102,04/03/2016,1822594,137,4,Hamilton,8,Musical,2016,227824.25,12.336329777
7280,84,09/08/2013,587646,58,9,Chicago,8,Musical,2013,73455.75,11.204438463
12156,101,11/11/2001,903804,98,11,Mamma Mia!,8,Musical,2001,112975.5,11.63492626
2133,46,12/13/2015,116501,21,12,Dames At Sea,8,Musical,2015,14562.625,9.586213594
12308,96,02/19/2006,772287,77,2,The Phantom Of The Opera,8,Musical,2006,96535.875,11.47766998
7704,86,09/02/2007,476860,56,9,Les Misrables 2006,8,Musical,2007,59607.5,10.995536684
11360,89,04/06/1997,653924,0,4,Victor/Victoria,8,Musical,1997,81740.5,11.311304874
11165,77,09/19/1999,501120,80,9,Ragtime,8,Musical,1999,62640,11.045159331
4580,73,02/22/2004,188925,43,2,The Retreat From Moscow,8,Play,2004,23615.625,10.069663848
9653,85,12/09/2012,994479,59,12,Elf '12,8,Musical,2012,124309.875,11.730532719
10615,90,11/30/1997,555915,77,11,Cats,8,Musical,1997,69489.375,11.148929142
12908,94,06/24/2007,1029992,86,6,The Color Purple,8,Musical,2007,128749,11.765620052
13896,100,05/12/1991,766713,0,5,Miss Saigon,8,Musical,1991,95839.125,11.470426284
6151,83,10/25/2015,454318,55,10,Allegiance,0,Musical,2015,,
9971,69,12/04/2005,574414,47,12,Chitty Chitty Bang Bang,8,Musical,2005,71801.75,11.181664128
11945,100,05/14/2006,964718,88,5,Mamma Mia!,8,Musical,2006,120589.75,11.700149568
8368,61,03/13/2011,508202,34,3,American Idiot,8,Musical,2011,63525.25,11.059192744
14472,100,03/22/2009,1444495,102,3,Wicked,8,Musical,2009,180561.875,12.103828796
8794,90,08/05/2012,878625,74,8,Jersey Boys,8,Musical,2012,109828.125,11.606671923
6370,90,11/09/2014,624148,84,11,Hedwig And The Angry Inch,7,Musical,2014,89164,11.39823265
5573,65,09/11/2011,428329,42,9,Chicago,8,Musical,2011,53541.125,10.888205329
13612,89,07/30/1995,816331,0,7,Show Boat,8,Musical,1995,102041.375,11.533133647
3298,65,04/21/2002,240741,62,4,Urinetown,8,Musical,2002,30092.625,10.312035404
7996,58,07/16/2000,393685,50,7,Swing!,8,Musical,2000,49210.625,10.803864834
11156,95,01/18/1998,637521,89,1,Titanic,8,Musical,1998,79690.125,11.285900955
5923,74,07/03/2011,399748,45,7,Jerusalem,8,Play,2011,49968.5,10.819148086
