Title,Author,List Price,Amazon Price,Hard/ Paper,NumPages,Publisher,Pub year,ISBN-10,Height,Width,Thick,Weight (oz)
A Christmas Carol and Other Christmas Writings (Penguin Classics),Dickens,20,13.46,H,336,Penguin Classics Hardcover,2010,141195851,7.8,5.3,1.2,15.5
A Painted House,Grisham,15,10.2,P,384,Delta,2004,385337930,8,5.4,0.8,11.2
A Visit from the Goon Squad,Egan,14.95,8.96,P,352,Anchor,2011,307477479,7.9,5.2,0.8,12.8
American Psycho,Ellis,15.95,8.39,H,416,Vintage,1991,679735771,8,5.3,0.9,12.8
Andrew Carnegie,David Nasaw,20,13.6,P,896,Penguin,2007,143112449,8,5.4,1.8,22.4
Beloved,Toni Morrison,15,10.22,P,321,Vintage,2004,1400033411,7.9,5.2,0.8,12
Big Dog . . . Little Dog,Eastman,4.99,4.99,H,24,Random House Books,2006,375875395,5.8,4.3,0.5,4
Black Water,Oates,13,10.4,P,160,Plume,1993,452269865,8,5.4,0.4,4.8
Blessed Are the Bored in Spirit: A Young Catholic's Search for Meaning,Mark Hart,13.99,10.54,P,129,St. Anthony Messenger Press,2006,867166770,7.9,5.1,0.2,5.6
Cane River,Lalita Tademy,13.95,11.16,P,560,Grand Central Publishing,2002,446678457,8,5.2,1.5,16
Cloudy With a Chance of Meatballs,Judi Barrett,6.99,6.99,P,32,Atheneum Books for Young Readers,1982,689707490,8.5,9.3,0.1,1.6
Culture and Psychology,David Matsumoto,114.95,83.04,P,544,Wadsworth Publishing,2007,049509787X,9.1,7.3,0.8,28.8
Death of a Salesman,Arthur Miller,18,12.24,P,448,Penguin,1996,140247734,7.7,5,0.8,11.4
Existential Therapies,Mick Cooper,53.95,39.92,P,192,Sage Publications Ltd,2003,761973214,9.1,6.1,0.5,11.2
F My Life,Maxime Valette,15,10.2,P,288,Villard,2009,345518764,7.2,5.6,0.7,7.2
Fahrenheit 451,Ray Bradbury,6.99,6.99,P,208,Ballantine Books,1987,345342968,6.9,4.1,0.7,4
Fear and Loathing in Las Vegas,Thompson,12,9.07,P,224,Vintage,1998,679785892,7.9,5.1,0.7,8
Fight Club,Palahniuk,13.95,7.83,P,224,W.W. Norton,2005,393327345,8,5.4,0.7,6.4
Final Harvest: Poems,Dickinson,14.99,10.19,H,352,Back Bay Books,1964,316184152,5.6,8.2,1,10.4
Frankenstein,Mary Shelley,8,8,P,208,Simon & Brown,2011,1613820631,8.9,5.9,0.6,11.2
Full Black: A Thriller (Scot Harvath),Brad Thor,26.99,14.61,H,400,Atria,2011,141658661X,9.4,6.3,1.4,22.4
Go the F**k Asleep,Adam Mansbach,14.95,8.97,H,32,Akashic Books,2011,1617750255,8.3,6.3,0.3,8
Helmet for my pillow,Robert Leckie,16,9.09,P,305,Bantam Books,2010,553593315,7.9,5.1,0.9,8.8
"Heroes of Olympus, The, Book Two: The Son of Neptune","Riordan, Rick",19.99,10.75,H,544,Hyperion Book CH,2011,1423140591,,,1.8,25.6
Hop on Pop,Seuss,8.99,8.99,H,72,Beginner Books,1963,039480029X,9.3,6.7,0.4,14.4
I am Grateful: Recipes and Lifestyles of Caf Gratitute,Engelhart,24.95,16.47,P,200,North Atlantic Books,2007,1556436475,9,7,1,14
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,26,13,H,464,Crown,2011,307408841,9.5,6,1.5,25.6
Inherit The Wind,Jerome Lawrence and Robert E. Lee,9.95,5.13,P,144,Ballantine books,2007,345501039,7.6,5.2,0.4,4
Inheritance,"Paolini, Christopher",27.99,13.98,H,704,Knopf Books for Young Readers,2011,375856110,,,2.1,
Innovation and Entrepreneurship,Drucker,16.99,11.55,P,288,Harper Paperbacks,2006,60851139,8,5.3,0.6,6.4
Invisible Man,Ellison,21,13.43,H,624,Modern Library,1995,679601392,7.8,4.8,1.8,25.6
Invitation to a Beheading,Vladimir Nabokov,14,11.08,P,240,Vintage,1990,679725318,8,5.2,0.6,8
Jitterbug Perfume,Tom Robbins,15,10.2,P,352,Bantam,1990,553348981,8.3,5.2,0.8,9.6
Middlemarch (Penguin Hardback Classics),Eliot,20,12.17,H,880,Penguin Classics Hardcover,2011,141196890,7.9,5.4,2,35.2
Modern Man in Search of a Soul (Harvest Book),C.G. Jung,14,11.2,P,244,Harcourt Harvest,1955,156612062,8,5.3,0.6,6.4
My Sister's Keeper,Jodi Picoult,16,10.77,P,448,Washington Square Press,2005,743454537,8.2,5.4,1.2,6.4
Nathaniel Hawthorne's Tales,Hawthorne,13.83,13.83,H,480,W. W. Norton & Co.,1987,393954269,8.5,5.2,1,17.6
Number the Stars,Lois Lowry,16.99,11.55,H,144,Houghton Mifflin Books for Children,1989,395510600,8.1,5.8,0.6,12
Paradise (Oprah's Book Club),Toni Morrison,16,10.88,P,352,Plume,1999,452280397,8,5.4,0.7,10.4
Pippi Longstocking,Astrid Lindgren,5.99,5.99,P,160,Puffin,2005,1042402494,6.6,5.2,0.4,4.8
Plain Truth,Jodi Picoult,16,8.87,P,432,Washington Square Press,2007,1416547819,8.2,5.3,1.2,15.2
Pnin,Vladimir Nabokov,14,11.08,P,208,Vintage,1989,679723412,7.9,5.4,0.6,7.8
Prized,"O'Brien, Caragh M.",16.99,10.79,H,368,Roaring Brook Press,2011,1596435704,,,1.2,
Psychology Ninth Edition in Modules,David G. Myers,98.95,98.95,H,778,Worth Publishers,2009,1429238240,11.3,9.5,1.5,
Pudd'nhead Wilson,Mark Twain,35.75,25.84,P,436,Nabu Press,2010,1145899323,9.5,7.4,1,25.6
Revival: The Struggle for the Survival Inside the Obama White House,Richard Wolffe,26,16.91,H,320,Crown,2010,307717410,9.3,6.3,1.3,1.2
Sex on the Moon:  The Amazing Story Behind the Most Audacious Heist in History,Ben Mezrich,26.95,17.73,H,320,DoubleDay,2011,385533926,9.4,6.4,1.3,20.8
"Speak, Memory: An Autobiography Revisited",Vladimir Nabokov,16,10.88,P,336,Vintage,1989,679723390,7.9,5.1,0.8,11.2
State of Wonder,Ann Patchett,26.99,15.44,H,368,Harper,2011,62049801,9.1,5.6,1.4,19.2
