phase1_angle,phase2_angle,phase1_force,phase2_force,difficulty
34.0209396379,37.8012914321,3.5644716035,5.0626998326,difficult
33.6785864453,32.9949456789,2.6994164984,4.3236558243,difficult
33.1766458305,20.9084980392,2.3006366805,3.3830228,difficult
37.0161866266,29.6898593456,2.6611657097,3.4496861626,difficult
31.8850353961,23.9035261,3.8657613176,6.7681763125,difficult
38.5393808887,22.4163625212,2.4163527325,4.0581378687,difficult
28.0174107708,30.3496475939,3.6016658817,3.922594823,difficult
29.0471782789,39.4668132327,3.1410427109,3.5848428987,difficult
39.6424588647,27.8891370752,4.2426289291,4.2984757812,difficult
39.5694133753,23.5422150525,0.9611006936,2.9995647802,difficult
29.3737849258,23.5637024427,3.5332321167,4.6351059745,difficult
37.5014568598,32.2956083549,4.9477390737,6.3210732325,difficult
30.1553355213,38.4184555276,1.717822395,0.3334944654,difficult
26.558730413,25.2488116766,3.6020965013,1.4653087681,difficult
32.4508983756,14.5557045601,2.0064197181,5.9827531412,difficult
26.1754888676,25.4373514861,2.4355149736,3.2368032323,difficult
30.2463399661,23.4533069076,0.8573406149,3.1041101477,difficult
41.0451146977,25.2286053485,2.6637754266,2.0722325773,difficult
30.8741889244,23.3266797236,1.9838562539,2.3629404248,easy
26.1957805911,27.4192239904,2.9475295101,2.1894113056,difficult
42.209270057,21.3871952824,1.7710727329,3.1678105336,difficult
23.4577299438,29.0008715377,3.5219960336,2.3020024629,difficult
33.1120094701,25.9556005044,4.8277915251,5.4049276947,difficult
26.6049249806,19.5931409057,3.3944358172,7.2629440431,difficult
38.1917467793,27.4770102765,5.9298249367,9.61621114,difficult
40.608359694,27.8125067586,3.0301248388,2.2911189265,difficult
36.13930924,30.3528834826,2.1934802189,2.4524418591,difficult
30.459070564,30.6125462138,2.8187337182,1.6713373736,difficult
33.894748572,23.6287306834,4.0149299786,3.9221446177,difficult
27.2301873059,24.8989066394,4.2983719796,5.6864647594,difficult
30.8511553428,30.2193418865,1.2481684914,3.6881767891,difficult
28.0328529975,26.0823034088,2.7015024657,3.7102554849,difficult
37.1599829602,36.1953937661,1.495716776,4.0630675531,difficult
24.2341946037,35.5031936192,4.6939894639,4.897086058,difficult
41.641031561,30.0731196595,4.1722941145,5.4403017155,easy
41.8861860342,28.285585152,2.0063261099,2.4199316595,difficult
41.4362399182,36.8122406596,3.2555604218,3.3602840893,difficult
29.5874999447,23.4912880123,2.1432206425,4.1804934654,difficult
29.2532842578,19.2577715236,2.8082624583,-0.2903028588,easy
23.6193683799,29.8489176179,1.9052768551,0.4486702605,difficult
28.2418386876,27.0824750297,3.0727918357,-0.2784057891,easy
41.7684887385,25.350256654,2.4747311434,4.1741074711,difficult
39.0839470169,35.8485171083,2.3285699376,0.4552452073,difficult
23.5271168337,25.1101013026,1.7374376414,4.2842705392,difficult
30.401796537,33.6589824593,3.0253594111,4.7181074126,difficult
33.3772167296,27.1118765587,3.3169261971,3.9426202954,difficult
27.2472874452,24.6438115677,2.1787884076,2.3467219935,easy
26.7485124762,30.185119023,2.2925244811,5.8386172564,difficult
42.9154280592,32.5303152494,2.0080017273,2.2286517803,difficult
42.7880143635,32.8596556819,4.1576276175,4.959464576,difficult
38.1667558409,18.7587803548,4.1446665325,2.9281563889,difficult
41.8333106777,26.8260986134,2.6385250068,-0.3777071869,easy
38.7005266107,27.6701660603,3.6209047191,1.7572046048,difficult
36.9392117898,28.5285128817,3.8391868374,3.9864170683,difficult
37.9216019739,26.0354168885,3.2656060592,4.9795663103,difficult
43.4805845679,31.1474129212,3.5617044735,4.9644599287,difficult
24.548016011,17.162575246,3.7077344492,3.4182628189,difficult
38.8748395797,32.2120441009,2.5759150586,-0.1281463962,easy
38.5124583659,20.7329471075,2.7105039476,6.8478797134,difficult
30.6057790306,30.2360194933,3.2521565136,2.4004378523,difficult
39.7824815698,25.0478069187,3.0271676435,5.2828684705,difficult
33.5419871232,26.2572335091,2.4378872921,5.3563504177,difficult
33.8122701775,19.3051899589,3.4341520005,4.1430453688,difficult
43.3823496141,24.5542550028,3.0518896231,4.6795794369,difficult
24.5268209823,27.9699147128,1.062046275,3.488922775,difficult
42.0659304073,26.652501273,3.1888412975,3.6819187879,difficult
35.0042378015,29.7547471448,3.3602447348,4.7358725352,difficult
25.7578933684,21.6532389725,3.1158050585,4.9576555953,difficult
38.0718288792,23.4839702331,2.8301934867,5.6226950922,difficult
31.4657875681,36.7174593093,2.8902228031,4.2574010823,difficult
43.7731193623,24.4365312676,3.6004270317,3.5711105625,difficult
40.1215908269,31.9086808039,3.5328699101,5.2430987731,difficult
24.1817137911,38.4411151959,4.2507655752,4.2402607095,difficult
30.6354153266,34.6857234528,3.653903291,2.6332810842,difficult
23.5305523719,34.7089962364,3.9555589178,4.5023650849,difficult
30.161124774,25.469829421,3.5724041449,3.6594211477,easy
33.4358053519,33.8611700783,2.3444861806,2.531009771,difficult
30.4011460259,29.2696219143,4.0707146115,4.5065059461,difficult
27.8718405324,35.2171291892,3.1596913132,5.6068192072,difficult
35.2772226792,32.1309788999,3.6611566724,4.2317244898,difficult
23.6027136787,25.2626047496,1.145385486,2.5221023398,difficult
29.3014582384,24.1031521498,4.9625240347,7.7247665018,difficult
36.0851793892,30.4461683547,3.4962484748,4.1222030523,difficult
28.5139359015,35.1625866099,5.3873224675,7.1544758688,difficult
31.286832762,31.1152177511,5.4412974066,6.9387808174,difficult
